region,value
Москва,12380664
Московская область,7423470
Краснодарский край,5570945
Санкт-Петербург,5281579
Свердловская область,4329341
Ростовская область,4231355
Республика Башкортостан,4066972
Республика Татарстан,3885253
Тюменская область включая АО,3660030
Челябинская область,3502323
Нижегородская область,3247713
Самарская область,3203679
Республика Дагестан,3041900
Красноярский край,2875301
Ставропольский край,2804383
Новосибирская область,2779555
Кемеровская область,2708844
Пермский край,2632097
Волгоградская область,2535202
Саратовская область,2479260
Иркутская область,2408901
Алтайский край,2365680
Воронежская область,2335408
Оренбургская область,1989589
Омская область,1972682
Приморский край,1923116
Республика Крым,1912168
Ленинградская область,1791916
Ханты-Мансийский АО,1646078
Белгородская область,1552865
Удмуртская Республика,1516826
Тульская область,1499417
Тюменская область без АО,1477903
Чеченская Республика,1414865
Владимирская область,1389599
Пензенская область,1341526
Хабаровский край,1333294
Тверская область,1296799
Кировская область,1291684
Ярославская область,1270736
Ульяновская область,1252887
Чувашская Республика,1235863
Брянская область,1220530
Вологодская область,1183860
Архангельская область с НАО,1165750
Липецкая область,1156221
Рязанская область,1126739
Курская область,1122893
Архангельская область без НАО,1121813
Забайкальский край,1078983
Томская область,1078891
Тамбовская область,1040327
Ивановская область,1023170
Астраханская область,1018866
Калужская область,1014570
Калининградская область,986261
Республика Бурятия,984134
Республика Саха (Якутия),962835
Смоленская область,953201
Кабардино-Балкарская Респ,864454
Курганская область,854109
Республика Коми,850554
Республика Мордовия,808541
Амурская область,801752
Мурманская область,757621
Орловская область,754816
Северная Осетия-Алания,703262
Республика Марий Эл,684684
Костромская область,648157
Псковская область,642164
Республика Карелия,627083
Новгородская область,612522
Республика Хакасия,537668
Ямало-Ненецкий АО,536049
Сахалинская область,487344
Республика Ингушетия,480474
Карачаево-Черкесская Респ,466432
Республика Адыгея,453366
Севастополь,428753
Республика Тыва,318550
Камчатский край,314729
Республика Калмыкия,277803
Республика Алтай,217007
Еврейская АО,164217
Магаданская область,145570
Чукотский автокруг,49822
Ненецкий АО,43838
